Comarca,MUNICIPI,Lot,Bloc,Pob.
Anoia,Argençola,2,1,216
Anoia,Bellprat,2,1,74
Anoia,EL BRUC,2,1,2.218
Anoia,Cabrera d'Anoia,2,1,1.606
Anoia,Calonge de Segarra,2,1,195
Anoia,Carme,2,1,754
Anoia,Castellfollit de Riubregós,2,1,159
Anoia,Castellolí,2,1,636
Anoia,Copons,2,1,333
Anoia,Jorba,2,1,806
Anoia,LA LLACUNA,2,1,942
Anoia,Montmaneu,2,1,166
Anoia,Orpí,2,1,159
Anoia,ELS PRATS DE REI,2,1,554
Anoia,Pujalt,2,1,204
Anoia,Rubió,2,1,244
Anoia,Sant Pere Sallavinera,2,1,167
Anoia,Sant Martí Sesgueioles,2,1,361
Anoia,Santa Maria de Miralles,2,1,138
Anoia,LA TORRE DE CLARAMUNT,2,1,3.966
Anoia,Vallbona d'Anoia,2,1,1.387
Anoia,Veciana,2,1,182
Conca de Barberà,Conesa,2,1,109
Conca de Barberà,Forès,2,1,48
Conca de Barberà,Llorac,2,1,96
Conca de Barberà,Passanant i Belltall,2,1,170
Conca de Barberà,LES PILES,2,1,224
Conca de Barberà,Rocafort de Queralt,2,1,241
Conca de Barberà,Savallà del Comtat,2,1,52
Conca de Barberà,Vallfogona de Riucorb,2,1,89
Alt Penedès,LES CABANYES,2,2,999
Alt Penedès,Castellet i la Gornal,2,2,2.474
Alt Penedès,Font-rubí,2,2,1.446
Alt Penedès,Mediona,2,2,2.517
Alt Penedès,Olesa de Bonesvalls,2,2,2.016
Alt Penedès,Pacs del Penedès,2,2,935
Alt Penedès,Pontons,2,2,507
Alt Penedès,Puigdàlber,2,2,555
Alt Penedès,Sant Cugat Sesgarrigues,2,2,1.009
Alt Penedès,Sant Llorenç d'Hortons,2,2,2.503
Alt Penedès,Santa Fe del Penedès,2,2,370
Alt Penedès,Subirats,2,2,3.241
Alt Penedès,Torrelavit,2,2,1.457
Alt Penedès,Torrelles de Foix,2,2,2.557
Alt Penedès,Vilobí del Penedès,2,2,1.130
Baix Penedès,Albinyana,2,2,2.581
Baix Penedès,Bonastre,2,2,742
Baix Penedès,Masllorenç,2,2,547
Baix Penedès,EL MONTMELL,2,2,1.863
Baix Penedès,Santa Oliva,2,2,3.560
Garraf,Olivella,2,2,4.339
Tarragonès,Salomó,2,2,543
Tarragonès,Vespella de Gaià,2,2,496
Alt Camp,Aiguamúrcia,2,3,961
Alt Camp,Alió,2,3,496
Alt Camp,Bràfim,2,3,687
Alt Camp,Cabra del Camp,2,3,1.254
Alt Camp,Figuerola del Camp,2,3,332
Alt Camp,ELS GARIDELLS,2,3,196
Alt Camp,LA MASÓ,2,3,285
Alt Camp,EL MILÀ,2,3,189
Alt Camp,Montferri,2,3,419
Alt Camp,Mont-ral,2,3,173
Alt Camp,Nulles,2,3,541
Alt Camp,Puigpelat,2,3,1.199
Alt Camp,Querol,2,3,572
Alt Camp,LA RIBA,2,3,552
Alt Camp,Rodonyà,2,3,506
Alt Camp,EL ROURELL,2,3,395
Alt Camp,Vallmoll,2,3,1.882
Alt Camp,Vilabella,2,3,711
Conca de Barberà,Blancafort,2,3,394
Conca de Barberà,Pira,2,3,489
Conca de Barberà,Pontils,2,3,133
Conca de Barberà,Senan,2,3,44
Conca de Barberà,Vallclara,2,3,88
Conca de Barberà,Vilanova de Prades,2,3,107
Conca de Barberà,Vilaverd,2,3,453
Baix Camp,L'ALBIOL,2,4,528
Baix Camp,L'ALEIXAR,2,4,924
Baix Camp,Alforja,2,4,1.928
Baix Camp,Almoster,2,4,1.334
Baix Camp,Arbolí,2,4,122
Baix Camp,L'ARGENTERA,2,4,126
Baix Camp,Botarell,2,4,1.102
Baix Camp,Capafonts,2,4,121
Baix Camp,Colldejou,2,4,172
Baix Camp,Duesaigües,2,4,232
Baix Camp,LA FEBRÓ,2,4,39
Baix Camp,Maspujols,2,4,859
Baix Camp,Pratdip,2,4,693
Baix Camp,Riudecanyes,2,4,1.279
Baix Camp,Riudecols,2,4,1.198
Baix Camp,Vilanova d'Escornalbou,2,4,594
Baix Camp,Vilaplana,2,4,540
Tarragonès,EL CATLLAR,2,4,4.921
Tarragonès,LA NOU DE GAIÀ,2,4,636
Tarragonès,Perafort,2,4,1.292
Tarragonès,LA POBLA DE MAFUMET,2,4,4.052
Tarragonès,Renau,2,4,152
Tarragonès,LA RIERA DE GAIÀ,2,4,1.752
Tarragonès,LA SECUITA,2,4,1.765
Tarragonès,Vilallonga del Camp,2,4,2.398
Alt Empordà,EL FAR D'EMPORDÀ,4,1,625
Alt Empordà,Avinyonet de Puigventós,4,1,1.676
Alt Empordà,Borrassà,4,1,776
Alt Empordà,Cabanes,4,1,949
Alt Empordà,Siurana,4,1,178
Alt Empordà,Espolla,4,1,408
Alt Empordà,Fortià,4,1,778
Alt Empordà,Garrigàs,4,1,458
Alt Empordà,Masarac,4,1,294
Alt Empordà,Mollet de Peralada,4,1,202
Alt Empordà,Ordis,4,1,373
Alt Empordà,Palau de Santa Eulàlia,4,1,115
Alt Empordà,Pau,4,1,579
Alt Empordà,Pedret i Marzà,4,1,181
Alt Empordà,Pontós,4,1,274
Alt Empordà,Rabós,4,1,210
Alt Empordà,Riumors,4,1,244
Alt Empordà,Sant Miquel de Fluvià,4,1,808
Alt Empordà,Santa Llogaia d'Àlguema,4,1,379
Alt Empordà,LA SELVA DE MAR,4,1,220
Alt Empordà,Torroella de Fluvià,4,1,741
Alt Empordà,Vilafant,4,1,5.562
Alt Empordà,Vilaür,4,1,162
Alt Empordà,Vilamacolum,4,1,386
Alt Empordà,Vilamalla,4,1,1.166
Alt Empordà,Vilamaniscle,4,1,204
Alt Empordà,Vila-sacra,4,1,785
Alt Empordà,Albanyà,4,2,180
Alt Empordà,LA VAJOL,4,2,87
Alt Empordà,Boadella i les Escaules,4,2,258
Alt Empordà,Cabanelles,4,2,279
Alt Empordà,Cantallops,4,2,330
Alt Empordà,Capmany,4,2,672
Alt Empordà,Cistella,4,2,307
Alt Empordà,Lladó,4,2,827
Alt Empordà,Navata,4,2,1.465
Alt Empordà,Pont de Molins,4,2,542
Alt Empordà,Sant Llorenç de la Muga,4,2,267
Alt Empordà,Terrades,4,2,345
Alt Empordà,Vilanant,4,2,401
Alt Empordà,Biure,4,2,249
Garrotxa,Argelaguer,4,2,439
Garrotxa,Beuda,4,2,202
Garrotxa,Maià de Montcal,4,2,462
Garrotxa,Mieres,4,2,341
Garrotxa,Montagut i Oix,4,2,958
Garrotxa,Riudaura,4,2,511
Garrotxa,Sales de Llierca,4,2,169
Garrotxa,Sant Ferriol,4,2,256
Garrotxa,Sant Jaume de Llierca,4,2,842
